step,epoch,loss,rewards/chosen,rewards/rejected,rewards/margins,rewards/accuracies,logps/chosen,logps/rejected,learning_rate,grad_norm,rewards/chosen_ma,rewards/rejected_ma,rewards/margins_ma
11,0.13771517996870108,0.7032,-0.022186994552612305,-0.0033979415893554688,-0.018789056688547134,0.375,-246.13345336914062,-168.68368530273438,2.0833333333333334e-06,5.719169616699219,-0.00695939412848516,0.01321744533594359,-0.020176839930090038
12,0.15023474178403756,0.704,-0.01951570436358452,0.00021521933376789093,-0.01973092183470726,0.5,-323.52618408203125,-218.57403564453125,2.2916666666666666e-06,7.443793296813965,-0.008005753314743439,0.012133926502428949,-0.020139680088808138
13,0.162754303599374,0.6779,0.007387256249785423,-0.024798931553959846,0.03218618780374527,0.625,-471.705322265625,-215.3104248046875,2.5e-06,6.995919227600098,-0.006821675655933527,0.009292937421168272,-0.016114613327842493
14,0.1752738654147105,0.6828,0.013580037280917168,-0.0086212158203125,0.022201253101229668,0.625,-254.70425415039062,-289.65087890625,2.7083333333333334e-06,6.539506435394287,-0.005364410446158477,0.008013355046776789,-0.013377765725765909
15,0.18779342723004694,0.6928,-0.010777897201478481,-0.012491392903029919,0.0017134957015514374,0.5,-296.8360290527344,-181.96376037597656,2.916666666666667e-06,7.287640571594238,-0.0057253095631798106,0.006646371850123008,-0.01237168163061142
16,0.20031298904538342,0.7031,-0.04399576038122177,-0.026561999693512917,-0.017433766275644302,0.375,-509.3504333496094,-286.42425537109375,3.125e-06,7.893796443939209,-0.008117212739307433,0.004570848628645763,-0.012688061920925975
17,0.21283255086071987,0.6898,0.007537174969911575,-4.434492439031601e-05,0.007581519894301891,0.625,-506.96771240234375,-277.71099853515625,3.3333333333333333e-06,7.707309722900391,-0.007196366403471021,0.004299366654937758,-0.011495733578853747
18,0.22535211267605634,0.6836,0.002300739288330078,-0.01878226362168789,0.021083002910017967,0.625,-203.11512756347656,-157.9176788330078,3.5416666666666673e-06,5.020815372467041,-0.0066687494205931825,0.0030170538617918887,-0.00968580377391643
19,0.2378716744913928,0.6976,-0.021117161959409714,-0.014172505587339401,-0.0069446563720703125,0.5,-232.99993896484375,-136.3311767578125,3.7500000000000005e-06,6.469457149505615,-0.007429192185794052,0.0021123402065744527,-0.009541532858029791
20,0.25039123630672927,0.6963,-0.01640639267861843,-0.010649776086211205,-0.005756615661084652,0.5,-253.81893920898438,-245.92587280273438,3.958333333333333e-06,6.210287570953369,-0.007878052210435272,0.0014742343919351697,-0.009352286998182534
21,0.26291079812206575,0.696,0.015501689165830612,0.017763281241059303,-0.0022615892812609673,0.375,-424.8482971191406,-160.84226989746094,4.166666666666667e-06,5.928465366363525,-0.0071029677521437405,0.0023623984539881348,-0.009465366462245583
22,0.27543035993740217,0.6772,0.01330974418669939,-0.01970062218606472,0.033010367304086685,0.875,-301.15960693359375,-293.7453308105469,4.3750000000000005e-06,7.675051212310791,-0.006437480542808771,0.001377367344684899,-0.00781484809704125
23,0.28794992175273865,0.682,0.029921911656856537,0.006951736751943827,0.022970175370573997,0.5,-513.8759765625,-343.2767028808594,4.583333333333333e-06,7.360541343688965,-0.005532767996191979,3.835977986454964e-06,-0.0055366040673106905
24,0.3004694835680751,0.7054,0.016642093658447266,0.037415407598018646,-0.02077331580221653,0.5,-373.3666076660156,-325.1476745605469,4.791666666666668e-06,8.050675392150879,-0.0034556458704173565,0.00024271276779472828,-0.0036983587313443424
25,0.3129890453834116,0.6664,0.051699213683605194,-0.003836536779999733,0.05553574860095978,0.875,-270.0377502441406,-160.735595703125,5e-06,6.22894811630249,-0.0004339667037129402,0.0010820797178894281,-0.0015160466078668832
26,0.325508607198748,0.7013,0.02240314520895481,0.03686203807592392,-0.014458894729614258,0.25,-221.54701232910156,-158.46336364746094,4.999735579817769e-06,6.192089557647705,0.0012505202554166316,0.0016472151037305593,-0.0003966952208429575
27,0.3380281690140845,0.6682,0.06345577538013458,0.008220624178647995,0.05523514747619629,0.75,-403.44683837890625,-274.045166015625,4.998942375205502e-06,8.107226371765137,0.0034482556395232676,0.0022341134259477257,0.0012141417246311903
28,0.350547730829421,0.6922,0.04157395660877228,0.038634251803159714,0.002939700148999691,0.625,-223.88377380371094,-260.41876220703125,4.997620553954645e-06,7.627574443817139,0.007454527076333761,0.0022650385508313775,0.005189487617462874
29,0.36306729264475746,0.6559,0.0592130646109581,-0.017235755920410156,0.07644882053136826,0.875,-230.0956268310547,-132.59400939941406,4.995770395678171e-06,5.1680684089660645,0.012120437528938054,0.0007857084507122636,0.01133472817018628
30,0.3755868544600939,0.6446,0.07519721984863281,-0.027495909482240677,0.10269312560558319,0.875,-472.21319580078125,-192.673095703125,4.993392291751431e-06,6.831703186035156,0.01428615553304553,-0.0020863318582996725,0.016372486390173434
31,0.38810641627543035,0.6735,0.06480507552623749,0.022437192499637604,0.04236788675189018,0.75,-249.42657470703125,-162.53233337402344,4.990486745229364e-06,6.907788276672363,0.01863575903698802,-0.0007945751538500189,0.019430333562195302
32,0.40062597809076683,0.7054,0.015044212341308594,0.038467299193143845,-0.02342308685183525,0.375,-413.53277587890625,-207.05496215820312,4.9870543707400835e-06,6.632517337799072,0.020363754872232676,0.0011180288391187787,0.0192457253113389
33,0.4131455399061033,0.6789,0.04485165327787399,0.013660527765750885,0.03119112178683281,0.5,-243.1680145263672,-120.00590515136719,4.983095894354858e-06,5.5993852615356445,0.022236974723637105,0.0030410018051043155,0.01919597201049328
34,0.42566510172143973,0.6474,0.10315442085266113,0.005833866074681282,0.097320556640625,0.75,-434.983642578125,-267.6737060546875,4.978612153434527e-06,7.328007221221924,0.0267156939022243,0.0037637558998540044,0.022951937187463044
35,0.4381846635367762,0.6783,0.04408848285675049,0.014010239392518997,0.03007824346423149,0.75,-288.62908935546875,-195.53289794921875,4.973604096452361e-06,6.312629222869873,0.02945901290513575,0.00508883751463145,0.024370174575597047
36,0.4507042253521127,0.6481,0.09138999134302139,-0.004248142242431641,0.09563813358545303,0.875,-328.1740417480469,-228.53831481933594,4.968072782793436e-06,6.284782409667969,0.03622830049134791,0.006204530387185514,0.030023769568651916
37,0.46322378716744916,0.6888,0.0610564686357975,0.05073969438672066,0.010316777043044567,0.5,-329.89208984375,-212.30194091796875,4.962019382530521e-06,7.02901554107666,0.038904265174642204,0.008743732352741063,0.03016053242608905
38,0.4757433489827856,0.6618,0.099602609872818,0.033051908016204834,0.06655069440603256,0.75,-299.8110656738281,-203.074951171875,4.955445176176577e-06,7.324276924133301,0.0437693587038666,0.0113354409346357,0.03243391700088978
39,0.48826291079812206,0.6847,0.03569407761096954,0.016847755759954453,0.018846318125724792,0.625,-259.1468505859375,-176.25677490234375,4.948351554413879e-06,6.254154682159424,0.046609920682385564,0.012886454002000391,0.033723465725779535
40,0.5007824726134585,0.6658,0.08507174998521805,0.027970029041171074,0.057101715356111526,0.625,-234.28990173339844,-219.34164428710938,4.9407400177998335e-06,6.647036552429199,0.051683827815577385,0.014817444258369505,0.03686638227663934
41,0.513302034428795,0.6396,0.05482906103134155,-0.058089397847652435,0.11291846632957458,0.75,-208.96499633789062,-143.32223510742188,4.93261217644956e-06,6.484720230102539,0.053650196408852935,0.01102481030393392,0.04262538505718112
42,0.5258215962441315,0.6454,0.1312246322631836,0.030587483197450638,0.10063714534044266,0.75,-453.6818542480469,-222.21182250976562,4.9239697496952904e-06,6.46164608001709,0.059545940812677146,0.013539215573109687,0.04600672395899892
43,0.5383411580594679,0.647,0.14805087447166443,0.0506693571805954,0.09738153219223022,0.75,-292.1722106933594,-302.02362060546875,4.914814565722671e-06,6.462125778198242,0.06545238895341754,0.015725096594542264,0.04972729180008173
44,0.5508607198748043,0.6638,0.10900440812110901,0.04576153680682182,0.06324286758899689,0.75,-269.4769287109375,-310.8188171386719,4.905148561184033e-06,6.905640602111816,0.07007050467655063,0.016142403054982424,0.0539281009696424
45,0.5633802816901409,0.642,0.10716161131858826,0.0001897809561342001,0.10697183758020401,0.875,-328.7577819824219,-163.115234375,4.894973780788722e-06,6.352083206176758,0.07284362455829978,0.01634371894178912,0.05649990541860461
46,0.5758998435054773,0.654,0.09509378671646118,0.010266054421663284,0.0848277285695076,0.625,-191.8690185546875,-91.06686401367188,4.884292376870567e-06,5.285274028778076,0.0764781566336751,0.015013919759076089,0.061464236583560705
47,0.5884194053208138,0.6708,0.08886006474494934,0.0415586456656456,0.04730141907930374,0.625,-395.10791015625,-312.3299255371094,4.873106608932585e-06,6.450123310089111,0.07774837110191583,0.01668082083342597,0.06106755016371608
48,0.6009389671361502,0.6426,0.18021784722805023,0.0683104544878006,0.11190738528966904,0.625,-295.3828430175781,-211.86932373046875,4.861418843169012e-06,6.370081901550293,0.08468056563287973,0.018164630967658014,0.06651593442074955
49,0.6134585289514867,0.6467,0.17390689253807068,0.06372072547674179,0.11018617451190948,0.625,-330.7421875,-184.95382690429688,4.849231551964771e-06,6.6977643966674805,0.09041525702923536,0.02221245503751561,0.06820280211977661
50,0.6259780907668232,0.632,0.15140685439109802,0.01630406267940998,0.13510280847549438,0.75,-222.986572265625,-137.88427734375,4.836547313372472e-06,6.808461666107178,0.09422573875635862,0.024402453645598142,0.06982328626327217
51,0.6384976525821596,0.6362,0.12788382172584534,0.008254718966782093,0.11962909996509552,0.875,-248.1268310546875,-117.22845458984375,4.823368810567056e-06,6.195127964019775,0.09737967606633902,0.023693329968955366,0.07368634692393243
52,0.651017214397496,0.6309,0.13388311862945557,0.0014108894392848015,0.1324722319841385,0.875,-168.85824584960938,-133.57102966308594,4.809698831278217e-06,5.23695182800293,0.10332162138074637,0.021840509481262416,0.08148111286573112
53,0.6635367762128326,0.6254,0.16110211610794067,0.011104309931397438,0.1499978005886078,0.75,-158.67825317382812,-66.5469970703125,4.7955402672006855e-06,4.41137170791626,0.1091341445222497,0.021712698589544742,0.08742144680581987
54,0.676056338028169,0.6289,0.2020002007484436,0.05283832922577858,0.14916187524795532,0.625,-321.32476806640625,-263.049072265625,4.780896113382536e-06,7.073453903198242,0.11407643351703882,0.02406292174709961,0.09001351273618638
55,0.6885758998435054,0.6619,0.12420132756233215,0.05148911103606224,0.07271222025156021,0.5,-284.43902587890625,-289.20269775390625,4.765769467591626e-06,7.846704959869385,0.11808207575231791,0.02593686532927677,0.09214521157555282
56,0.701095461658842,0.6136,0.18595728278160095,0.006519126705825329,0.17943815886974335,0.875,-255.3787078857422,-179.8278045654297,4.750163529660303e-06,6.146847724914551,0.12281044032424689,0.02647522877668962,0.09633521283976734
57,0.7136150234741784,0.6123,0.2404862940311432,0.05724155902862549,0.1832447350025177,0.875,-198.56997680664062,-207.96929931640625,4.734081600808531e-06,6.599782943725586,0.13178193159401416,0.02680032200878486,0.104981610737741
58,0.7261345852895149,0.6109,0.21129950881004333,0.03027658350765705,0.18102292716503143,0.875,-413.0274658203125,-223.56907653808594,4.717527082945555e-06,7.818755149841309,0.13736677654087542,0.026661555783357473,0.11070522237569094
59,0.7386541471048513,0.6376,0.1704833209514618,0.046947646886110306,0.12353566288948059,0.75,-249.66891479492188,-160.92559814453125,4.700503477950278e-06,5.8147125244140625,0.14410623870790004,0.028166550339665263,0.11593968961387872
60,0.7511737089201878,0.6568,0.21326199173927307,0.12002916634082794,0.09323282539844513,0.875,-256.1872863769531,-240.62942504882812,4.6830143869304904e-06,6.693547248840332,0.1505157507956028,0.03276950720464811,0.11774624511599541
61,0.7636932707355243,0.6693,0.11322589218616486,0.06101713329553604,0.05220876261591911,0.5,-154.9898681640625,-235.50033569335938,4.665063509461098e-06,6.00035285949707,0.15343559235334397,0.038724833761807534,0.11471075993031263
62,0.7762128325508607,0.6651,0.11751417815685272,0.05502958595752716,0.06248460337519646,0.75,-188.62803649902344,-180.87539672851562,4.646654642801533e-06,6.052481651306152,0.15275006964802743,0.03994693889981136,0.11280313283205032
63,0.7887323943661971,0.5804,0.2389228641986847,-0.013451531529426575,0.25237441062927246,0.75,-315.6524963378906,-264.59722900390625,4.627791681092499e-06,7.376372337341309,0.15729366913437842,0.03674089446431026,0.12055277675390244
64,0.8012519561815337,0.6118,0.20971594750881195,0.020384788513183594,0.18933114409446716,0.75,-248.31906127929688,-239.9774627685547,4.608478614532215e-06,6.726595878601074,0.1623292461037636,0.035472057049628344,0.12685719057917594
65,0.8137715179968701,0.6666,0.17281915247440338,0.11411638557910919,0.05870275944471359,0.75,-372.89105224609375,-374.8398132324219,4.588719528532342e-06,7.422065734863281,0.16561212316155433,0.0411683872807771,0.12444373667240143
66,0.8262910798122066,0.5897,0.295431524515152,0.05464215576648712,0.24078938364982605,0.875,-425.45770263671875,-264.6247863769531,4.568518602853776e-06,6.592989921569824,0.17562901005148887,0.043387192348018286,0.13224181942641736
67,0.838810641627543,0.5742,0.2745310068130493,-0.0004520900547504425,0.27498307824134827,0.75,-361.3901062011719,-162.61460876464844,4.54788011072248e-06,6.180832862854004,0.18491255715489388,0.04128665556199849,0.14362590238451958
68,0.8513302034428795,0.5343,0.40352559089660645,0.00546921556815505,0.39805638790130615,0.75,-312.3126220703125,-126.41876220703125,4.526808417925531e-06,5.320085048675537,0.19607794433832168,0.03814459361601621,0.15793335251510143
69,0.863849765258216,0.5813,0.31709402799606323,0.05548562854528427,0.26160842180252075,0.75,-455.0579833984375,-191.19366455078125,4.50530798188761e-06,6.45137357711792,0.20323730111122132,0.03773283876944333,0.165504464879632
70,0.8763693270735524,0.5871,0.2473086416721344,-0.004239589907228947,0.25154823064804077,0.875,-264.6034851074219,-156.2996826171875,4.4833833507280884e-06,6.7173333168029785,0.20803239047527314,0.036705656140111384,0.17132673598825932
71,0.8888888888888888,0.669,0.0942358523607254,0.039295196533203125,0.054940659552812576,0.75,-147.1336212158203,-192.28036499023438,4.46103916229894e-06,7.455462455749512,0.20634999200701715,0.03825768001843244,0.16809231396764518
72,0.9014084507042254,0.6608,0.17718005180358887,0.10024910420179367,0.07693096250295639,0.5,-309.3550109863281,-206.6890106201172,4.438280143203665e-06,7.255300998687744,0.2085148386657238,0.04319959075655788,0.16531525049358606
73,0.9139280125195618,0.6543,0.1443578451871872,0.04386406019330025,0.10049378126859665,0.5,-119.45081329345703,-251.1309814453125,4.415111107797445e-06,5.390024662017822,0.20767762511968613,0.044837578269653025,0.16284004952758552
74,0.9264475743348983,0.6876,0.22266525030136108,0.18220964074134827,0.04045560956001282,0.75,-318.9493408203125,-284.5981140136719,4.391536957168733e-06,7.151390075683594,0.208710877597332,0.05130614384543151,0.15740473624318838
75,0.9389671361502347,0.6127,0.26942378282546997,0.0900978296995163,0.17932593822479248,0.625,-308.27032470703125,-152.66513061523438,4.367562678102491e-06,5.058680534362793,0.21597200036048889,0.05323657977860421,0.16273542214185
76,0.9514866979655712,0.6667,0.2237524688243866,0.16892176866531372,0.05483067408204079,0.625,-412.661376953125,-395.93829345703125,4.34319334202531e-06,8.208954811096191,0.21786175966262816,0.06135671187657863,0.15650504790246486
77,0.9640062597809077,0.6468,0.19193512201309204,0.0718037560582161,0.12013134360313416,0.5,-381.65765380859375,-450.93536376953125,4.318434103932622e-06,9.088876724243164,0.21543420106172562,0.06208482172805816,0.15334937833249568
78,0.9765258215962441,0.6341,0.28487148880958557,0.1356685608625412,0.14920292794704437,0.625,-243.96124267578125,-229.18386840820312,4.293290201298224e-06,6.379268646240234,0.21911280006170272,0.06735442059580236,0.15175837837159634
79,0.9890453834115805,0.6331,0.17927466332912445,0.03223896026611328,0.14703568816184998,0.5,-309.23663330078125,-151.74996948242188,4.267766952966369e-06,8.049860000610352,0.21955236718058585,0.06661898626480252,0.1529333796352148
80,1.0,0.5114,0.3622632920742035,0.07925830036401749,0.2830049991607666,0.5714285969734192,-233.4399871826172,-175.84523010253906,4.241869758026638e-06,5.686614513397217,0.22700243219733238,0.06458044296596199,0.16242198832333088
81,1.0125195618153364,0.485,0.5673558712005615,0.04757127910852432,0.5197846293449402,1.0,-282.7010192871094,-175.75418090820312,4.215604094671835e-06,5.501192569732666,0.2497089311480522,0.06390815025661141,0.18580078165978192
82,1.0250391236306728,0.5587,0.35800331830978394,0.058661650866270065,0.29934167861938477,0.875,-257.1678161621094,-188.7946014404297,4.188975519039151e-06,5.878934383392334,0.2617333881556988,0.06408975350204855,0.19764363542199134
83,1.0375586854460095,0.5805,0.24671432375907898,-0.002821781672537327,0.24953609704971313,1.0,-188.95947265625,-127.55801391601562,4.161989664034844e-06,5.123103618621826,0.26212296113371847,0.06462124099489301,0.1975017197430134
84,1.050078247261346,0.5043,0.4725675582885742,0.012340258806943893,0.4602273106575012,1.0,-204.36862182617188,-136.152587890625,4.134652238142674e-06,4.74341344833374,0.2752655416727066,0.06421901450958103,0.21104652807116508
85,1.0625978090766823,0.5324,0.4738129675388336,0.08048858493566513,0.3933243751525879,0.875,-391.60589599609375,-231.87457275390625,4.106969024216348e-06,6.106731414794922,0.2903152324259281,0.06253762447740882,0.2277776088565588
86,1.0751173708920188,0.6052,0.1779189109802246,-0.014982468448579311,0.1929013878107071,1.0,-111.8008804321289,-288.74755859375,4.078945878256244e-06,6.598216533660889,0.28443960174918176,0.0590563932666555,0.22538320906460285
87,1.0876369327073552,0.5134,0.4681057035923004,0.03561434894800186,0.43249136209487915,1.0,-269.005859375,-242.27516174316406,4.0505887281706505e-06,6.079838275909424,0.2941183365881443,0.06085971521679312,0.2332586232572794
88,1.1001564945226918,0.6158,0.16963016986846924,-0.003494756296277046,0.17312493920326233,1.0,-196.46615600585938,-270.4784240722656,4.021903572521802e-06,7.15516996383667,0.2824235655367374,0.06041151662357151,0.2220120508223772
89,1.1126760563380282,0.5395,0.3608047664165497,0.014120196923613548,0.3466845750808716,1.0,-187.04734802246094,-115.25190734863281,3.992896479256966e-06,5.471118927001953,0.2846091024577618,0.05834324504248798,0.22626585848629474
90,1.1251956181533647,0.5664,0.24057289958000183,-0.03798055648803711,0.27855342626571655,1.0,-148.1549530029297,-130.53907775878906,3.963573584424852e-06,5.35727596282959,0.2842723153531551,0.05665619671344757,0.22761611826717854
91,1.137715179968701,0.562,0.43768197298049927,0.12618863582611084,0.3114933371543884,0.75,-397.0103759765625,-293.95220947265625,3.933941090877615e-06,6.111289024353027,0.30144462138414385,0.06100086867809296,0.24044375214725733
92,1.1502347417840375,0.5457,0.3663409948348999,0.029273746535182,0.33706727623939514,1.0,-219.7880859375,-170.89129638671875,3.9040052669587325e-06,5.724347114562988,0.31090266853570936,0.05745210079476237,0.25345056783407927
93,1.162754303599374,0.6075,0.4208524823188782,0.20447102189064026,0.21638144552707672,0.75,-355.62774658203125,-321.3475341796875,3.8737724451770155e-06,6.559737682342529,0.3247274003922939,0.06548244887962937,0.2592449510470033
94,1.1752738654147106,0.5425,0.4131317138671875,0.0711747258901596,0.3419569730758667,1.0,-279.80718994140625,-206.19107055664062,3.8432490208670605e-06,5.724954128265381,0.3342507235705853,0.05993070313706994,0.274320019222796
95,1.187793427230047,0.5325,0.41999563574790955,0.018289517611265182,0.40170609951019287,0.75,-295.71875,-259.7373962402344,3.8124414508364005e-06,5.727930545806885,0.3417793162167072,0.056340287532657386,0.285439027287066
96,1.2003129890453834,0.4507,0.4502761960029602,-0.141001895070076,0.591278076171875,1.0,-194.01602172851562,-277.82684326171875,3.7813562519996633e-06,6.721713066101074,0.3531055025756359,0.0408441043458879,0.31226139739155767
97,1.2128325508607198,0.5152,0.5078288316726685,0.05632514879107475,0.4515037536621094,0.875,-298.53424072265625,-135.34793090820312,3.7500000000000005e-06,6.018438816070557,0.36890018805861474,0.040070173982530835,0.32883001789450644
98,1.2253521126760563,0.497,0.5595190525054932,0.06104624643921852,0.49847283959388733,0.875,-392.890625,-170.94772338867188,3.7183793278181063e-06,5.687972545623779,0.38263256624341013,0.0363390582613647,0.3462935134768486
99,1.2378716744913927,0.5195,0.5010818243026733,0.03624384105205536,0.4648379683494568,1.0,-217.9927978515625,-199.88156127929688,3.6865009243691015e-06,5.547843933105469,0.39872292429208755,0.036539302300661804,0.36218362748622895
100,1.2503912363067293,0.5217,0.3921932578086853,-0.06361255794763565,0.45580583810806274,0.875,-153.76805114746094,-159.18557739257812,3.654371533087586e-06,6.3154096603393555,0.40021942257881166,0.029395759385079146,0.37082366943359374
101,1.2629107981220657,0.5165,0.5114250183105469,0.07229872047901154,0.43912625312805176,0.875,-304.3017883300781,-247.57254028320312,3.621997950501156e-06,5.139013290405273,0.3974228799343109,0.030632131453603505,0.36679075062274935
102,1.2754303599374022,0.4874,0.5612519979476929,0.061692383140325546,0.49955958127975464,1.0,-311.9207763671875,-177.9168701171875,3.5893870247926986e-06,5.387326717376709,0.40758531391620634,0.03078366806730628,0.3768016457557678
103,1.2879499217527386,0.4434,0.7058572769165039,-0.017474934458732605,0.7233322262763977,0.875,-350.50445556640625,-211.2431182861328,3.556545654351749e-06,5.509277820587158,0.4305424615740776,0.030051010427996516,0.40049145221710203
104,1.300469483568075,0.4777,0.5491602420806885,-0.013207247480750084,0.5623674392700195,0.875,-432.31597900390625,-183.23745727539062,3.5234807863152316e-06,5.086269378662109,0.4343720957636833,0.028773635113611817,0.405598458647728
105,1.3129890453834117,0.4327,0.531331479549408,-0.1766556352376938,0.7079870700836182,1.0,-217.89151000976562,-102.37330627441406,3.4901994150978926e-06,4.820857524871826,0.43724802136421204,0.01591642410494387,0.4213315933942795
106,1.325508607198748,0.4297,0.7350468635559082,0.011665835045278072,0.7233810424804688,1.0,-250.42831420898438,-138.76039123535156,3.4567085809127247e-06,5.082709789276123,0.4651044189929962,0.01724883927963674,0.44785557612776755
107,1.3380281690140845,0.5356,0.5041173100471497,0.07892584800720215,0.4251914620399475,0.875,-270.93096923828125,-304.2434387207031,3.4230153682817112e-06,6.840544700622559,0.4669049993157387,0.019414414232596756,0.447490581125021
108,1.350547730829421,0.6379,0.3350982367992401,0.19549104571342468,0.13960719108581543,0.75,-239.0731964111328,-265.1033935546875,3.389126904537192e-06,6.743826866149902,0.47517840266227723,0.02936370433308184,0.4458146937191486
109,1.3630672926447573,0.5523,0.47074347734451294,0.08502607047557831,0.38571739196777344,0.75,-267.5702819824219,-237.88082885742188,3.3550503583141726e-06,8.351278305053711,0.48067533820867536,0.03290899801068008,0.44776633456349374
110,1.375586854460094,0.405,0.7551006078720093,-0.03443995118141174,0.7895405292510986,0.875,-257.81768798828125,-214.1758575439453,3.3207929380339034e-06,6.02428674697876,0.5064017236232757,0.03308602827601135,0.47331568971276283
111,1.3881064162754304,0.4664,0.5473374128341675,-0.030688805505633354,0.5780261754989624,0.875,-202.0391082763672,-245.971435546875,3.2863618903790346e-06,4.966527462005615,0.5118844956159592,0.02524215620942414,0.48664233162999154
112,1.4006259780907668,0.4962,0.46824589371681213,-0.051932431757450104,0.5201783180236816,0.75,-127.1274185180664,-96.13624572753906,3.2517644987606827e-06,4.173527240753174,0.5169797405600548,0.021181847294792534,0.49579788371920586
113,1.4131455399061033,0.5395,0.44548219442367554,0.09252514690160751,0.35295701026916504,0.875,-352.571533203125,-177.5932159423828,3.217008081777726e-06,5.828584671020508,0.5182112261652947,0.015584553545340895,0.5026266619563102
114,1.4256651017214397,0.4727,0.6785598993301392,0.1482020914554596,0.5303577780723572,0.875,-458.6824951171875,-353.52752685546875,3.182099991668653e-06,6.898404121398926,0.5314826354384422,0.019435921823605894,0.5120467022061348
115,1.4381846635367763,0.4079,0.676567792892456,-0.055568404495716095,0.7321361303329468,1.0,-334.3305969238281,-150.31759643554688,3.147047612756302e-06,4.869263172149658,0.5443112432956696,0.01574302571825683,0.5285682037472725
116,1.4507042253521127,0.4624,0.5797637701034546,-0.002340886741876602,0.5821046829223633,1.0,-304.3533935546875,-197.2994384765625,3.1118583598858097e-06,6.176944255828857,0.5507856220006943,0.022676076134666802,0.5281095340847969
117,1.4632237871674492,0.4533,0.5721677541732788,-0.031110504642128944,0.6032782793045044,1.0,-341.340576171875,-82.16023254394531,3.0765396768561005e-06,5.084278106689453,0.5540025681257248,0.018304293463006615,0.5356982603669167
118,1.4757433489827856,0.5171,0.4335331618785858,-0.010386728681623936,0.4439198970794678,0.75,-244.39419555664062,-80.52763366699219,3.0410990348452572e-06,4.679983615875244,0.5477032735943794,0.014732644706964493,0.5329706132411957
119,1.488262910798122,0.4155,0.782757580280304,-0.014778997749090195,0.7975366115570068,0.875,-286.671630859375,-101.4412841796875,3.0055439308300954e-06,4.414227485656738,0.561787061393261,0.012181502766907215,0.5496055454015731
120,1.5007824726134587,0.496,0.5174635648727417,0.023545075207948685,0.4939185380935669,1.0,-243.79031372070312,-129.03944396972656,2.96988188600028e-06,5.710190773010254,0.5680505767464638,0.016539384424686433,0.5515111804008483
121,1.5133020344287949,0.4689,0.704537570476532,0.10572828352451324,0.5988093018531799,1.0,-345.7680358886719,-299.79296875,2.9341204441673267e-06,5.529599189758301,0.577706204354763,0.018210862576961518,0.5594953328371048
122,1.5258215962441315,0.4726,0.7521675229072571,0.12329716235399246,0.6288703680038452,0.875,-411.68170166015625,-315.37200927734375,2.898267170168807e-06,6.47752571105957,0.5872519806027412,0.021291101537644862,0.5659608721733094
123,1.538341158059468,0.5566,0.46671462059020996,0.13233940303325653,0.334375262260437,0.75,-151.51651000976562,-128.33999633789062,2.862329648268117e-06,4.808017730712891,0.5752948477864266,0.02878181841224432,0.5465130239725113
124,1.5508607198748043,0.4031,0.9351726770401001,0.09633274376392365,0.8388400077819824,1.0,-338.9007263183594,-257.8330993652344,2.82631548055013e-06,5.794461727142334,0.5945954695343971,0.03425881797447801,0.5603366523981095
