id,split,source_kind,stratum
sb-factuality-bus-013,train,self_built,self_built:factuality:business
sb-factuality-bus-014,train,self_built,self_built:factuality:business
sb-factuality-bus-015,train,self_built,self_built:factuality:business
sb-factuality-bus-016,train,self_built,self_built:factuality:business
sb-factuality-bus-017,train,self_built,self_built:factuality:business
sb-factuality-bus-018,train,self_built,self_built:factuality:business
sb-factuality-bus-019,validation,self_built,self_built:factuality:business
sb-factuality-bus-020,train,self_built,self_built:factuality:business
sb-factuality-bus-021,train,self_built,self_built:factuality:business
sb-factuality-gen-001,train,self_built,self_built:factuality:general
sb-factuality-gen-002,train,self_built,self_built:factuality:general
sb-factuality-gen-003,train,self_built,self_built:factuality:general
sb-factuality-gen-004,train,self_built,self_built:factuality:general
sb-factuality-gen-005,train,self_built,self_built:factuality:general
sb-factuality-gen-006,train,self_built,self_built:factuality:general
sb-factuality-gen-007,train,self_built,self_built:factuality:general
sb-factuality-gen-008,train,self_built,self_built:factuality:general
sb-factuality-gen-009,train,self_built,self_built:factuality:general
sb-factuality-gen-010,train,self_built,self_built:factuality:general
sb-factuality-gen-011,validation,self_built,self_built:factuality:general
sb-factuality-gen-012,train,self_built,self_built:factuality:general
sb-factuality-gen-013,train,self_built,self_built:factuality:general
sb-factuality-gen-014,train,self_built,self_built:factuality:general
sb-factuality-gen-015,train,self_built,self_built:factuality:general
sb-factuality-gen-016,train,self_built,self_built:factuality:general
sb-factuality-gen-017,validation,self_built,self_built:factuality:general
sb-factuality-gen-018,train,self_built,self_built:factuality:general
sb-factuality-gen-019,train,self_built,self_built:factuality:general
sb-factuality-gen-020,train,self_built,self_built:factuality:general
sb-factuality-gen-021,train,self_built,self_built:factuality:general
sb-format-bus-001,train,self_built,self_built:format:business
sb-format-bus-002,train,self_built,self_built:format:business
sb-format-bus-003,train,self_built,self_built:format:business
sb-format-bus-004,train,self_built,self_built:format:business
sb-format-bus-005,train,self_built,self_built:format:business
sb-format-bus-006,train,self_built,self_built:format:business
sb-format-bus-007,train,self_built,self_built:format:business
sb-format-bus-008,train,self_built,self_built:format:business
sb-format-bus-009,train,self_built,self_built:format:business
sb-format-bus-010,train,self_built,self_built:format:business
sb-format-bus-011,train,self_built,self_built:format:business
sb-format-bus-012,validation,self_built,self_built:format:business
sb-format-bus-013,train,self_built,self_built:format:business
sb-format-bus-014,train,self_built,self_built:format:business
sb-format-bus-015,train,self_built,self_built:format:business
sb-format-bus-016,train,self_built,self_built:format:business
sb-format-bus-017,train,self_built,self_built:format:business
sb-format-bus-018,train,self_built,self_built:format:business
sb-format-bus-019,train,self_built,self_built:format:business
sb-format-bus-020,validation,self_built,self_built:format:business
sb-format-bus-021,train,self_built,self_built:format:business
sb-format-gen-001,train,self_built,self_built:format:general
sb-format-gen-002,train,self_built,self_built:format:general
sb-format-gen-003,train,self_built,self_built:format:general
sb-format-gen-004,validation,self_built,self_built:format:general
sb-format-gen-005,train,self_built,self_built:format:general
sb-format-gen-006,train,self_built,self_built:format:general
sb-format-gen-007,train,self_built,self_built:format:general
sb-format-gen-008,train,self_built,self_built:format:general
sb-format-gen-009,train,self_built,self_built:format:general
sb-format-gen-010,train,self_built,self_built:format:general
sb-format-gen-011,train,self_built,self_built:format:general
sb-format-gen-012,train,self_built,self_built:format:general
sb-format-gen-013,train,self_built,self_built:format:general
sb-format-gen-014,train,self_built,self_built:format:general
sb-format-gen-015,train,self_built,self_built:format:general
sb-format-gen-016,train,self_built,self_built:format:general
sb-format-gen-017,train,self_built,self_built:format:general
sb-format-gen-018,train,self_built,self_built:format:general
sb-format-gen-019,train,self_built,self_built:format:general
sb-format-gen-020,train,self_built,self_built:format:general
sb-format-gen-021,validation,self_built,self_built:format:general
sb-helpfulness-bus-001,train,self_built,self_built:helpfulness:business
sb-helpfulness-bus-002,train,self_built,self_built:helpfulness:business
sb-helpfulness-bus-003,train,self_built,self_built:helpfulness:business
sb-helpfulness-bus-004,train,self_built,self_built:helpfulness:business
sb-helpfulness-bus-005,train,self_built,self_built:helpfulness:business
sb-helpfulness-bus-006,train,self_built,self_built:helpfulness:business
sb-helpfulness-bus-007,train,self_built,self_built:helpfulness:business
sb-helpfulness-bus-008,train,self_built,self_built:helpfulness:business
sb-helpfulness-bus-009,train,self_built,self_built:helpfulness:business
sb-helpfulness-bus-010,train,self_built,self_built:helpfulness:business
sb-helpfulness-bus-011,train,self_built,self_built:helpfulness:business
sb-helpfulness-bus-012,train,self_built,self_built:helpfulness:business
sb-helpfulness-bus-013,train,self_built,self_built:helpfulness:business
sb-helpfulness-bus-014,validation,self_built,self_built:helpfulness:business
sb-helpfulness-bus-015,train,self_built,self_built:helpfulness:business
sb-helpfulness-bus-016,train,self_built,self_built:helpfulness:business
sb-helpfulness-bus-017,train,self_built,self_built:helpfulness:business
sb-helpfulness-bus-018,train,self_built,self_built:helpfulness:business
sb-helpfulness-bus-019,train,self_built,self_built:helpfulness:business
sb-helpfulness-bus-020,train,self_built,self_built:helpfulness:business
sb-helpfulness-bus-021,validation,self_built,self_built:helpfulness:business
sb-helpfulness-gen-001,train,self_built,self_built:helpfulness:general
sb-helpfulness-gen-002,train,self_built,self_built:helpfulness:general
sb-helpfulness-gen-003,train,self_built,self_built:helpfulness:general
sb-helpfulness-gen-004,train,self_built,self_built:helpfulness:general
sb-helpfulness-gen-005,validation,self_built,self_built:helpfulness:general
sb-helpfulness-gen-006,train,self_built,self_built:helpfulness:general
sb-helpfulness-gen-007,train,self_built,self_built:helpfulness:general
sb-helpfulness-gen-008,train,self_built,self_built:helpfulness:general
sb-helpfulness-gen-009,train,self_built,self_built:helpfulness:general
sb-helpfulness-gen-010,train,self_built,self_built:helpfulness:general
sb-helpfulness-gen-011,train,self_built,self_built:helpfulness:general
sb-helpfulness-gen-012,train,self_built,self_built:helpfulness:general
sb-helpfulness-gen-013,train,self_built,self_built:helpfulness:general
sb-helpfulness-gen-014,train,self_built,self_built:helpfulness:general
sb-helpfulness-gen-015,train,self_built,self_built:helpfulness:general
sb-helpfulness-gen-016,train,self_built,self_built:helpfulness:general
sb-helpfulness-gen-017,train,self_built,self_built:helpfulness:general
sb-helpfulness-gen-018,validation,self_built,self_built:helpfulness:general
sb-helpfulness-gen-019,train,self_built,self_built:helpfulness:general
sb-helpfulness-gen-020,train,self_built,self_built:helpfulness:general
sb-helpfulness-gen-021,train,self_built,self_built:helpfulness:general
sb-safety-bus-001,train,self_built,self_built:safety:business
sb-safety-bus-002,train,self_built,self_built:safety:business
sb-safety-bus-003,train,self_built,self_built:safety:business
sb-safety-bus-004,train,self_built,self_built:safety:business
sb-safety-bus-005,train,self_built,self_built:safety:business
sb-safety-bus-006,train,self_built,self_built:safety:business
sb-safety-bus-007,train,self_built,self_built:safety:business
sb-safety-bus-008,train,self_built,self_built:safety:business
sb-safety-bus-009,train,self_built,self_built:safety:business
sb-safety-bus-010,train,self_built,self_built:safety:business
sb-safety-bus-011,train,self_built,self_built:safety:business
sb-safety-bus-012,train,self_built,self_built:safety:business
sb-safety-bus-013,train,self_built,self_built:safety:business
sb-safety-bus-014,train,self_built,self_built:safety:business
sb-safety-bus-015,train,self_built,self_built:safety:business
sb-safety-bus-016,train,self_built,self_built:safety:business
sb-safety-bus-017,train,self_built,self_built:safety:business
sb-safety-bus-018,train,self_built,self_built:safety:business
sb-safety-bus-019,train,self_built,self_built:safety:business
sb-safety-bus-020,validation,self_built,self_built:safety:business
sb-safety-bus-021,validation,self_built,self_built:safety:business
sb-safety-gen-001,train,self_built,self_built:safety:general
sb-safety-gen-002,train,self_built,self_built:safety:general
sb-safety-gen-003,train,self_built,self_built:safety:general
sb-safety-gen-004,train,self_built,self_built:safety:general
sb-safety-gen-005,train,self_built,self_built:safety:general
sb-safety-gen-006,train,self_built,self_built:safety:general
sb-safety-gen-007,train,self_built,self_built:safety:general
sb-safety-gen-008,train,self_built,self_built:safety:general
sb-safety-gen-009,train,self_built,self_built:safety:general
sb-safety-gen-010,validation,self_built,self_built:safety:general
sb-safety-gen-011,train,self_built,self_built:safety:general
sb-safety-gen-012,train,self_built,self_built:safety:general
sb-safety-gen-013,train,self_built,self_built:safety:general
sb-safety-gen-014,train,self_built,self_built:safety:general
sb-safety-gen-015,train,self_built,self_built:safety:general
sb-safety-gen-016,train,self_built,self_built:safety:general
sb-safety-gen-017,train,self_built,self_built:safety:general
sb-safety-gen-018,train,self_built,self_built:safety:general
sb-safety-gen-019,train,self_built,self_built:safety:general
sb-safety-gen-020,train,self_built,self_built:safety:general
sb-safety-gen-021,validation,self_built,self_built:safety:general
uf-0016d989a91fce0cc5872999c33e205f180f80d317dc82c1c4e93b52bbed4e76,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-003851f8b84e0a4be394e5e092298129077bc60acf160060e432b4299baed1fa,train,ultrafeedback,ultrafeedback:flan_v2_cot
uf-011ae0639f183ad9f8224df1373bb5a4e571bc471988debd5d180a53647c125c,train,ultrafeedback,ultrafeedback:sharegpt
uf-01319218cfc8d86b625d48068bca4ff49d792034fddcd80442b35d7ad829e377,train,ultrafeedback,ultrafeedback:sharegpt
uf-016fb4ed3eeb047460a3047aa7c5b291cabeaee1ebb213fe7acacdc6af26424e,train,ultrafeedback,ultrafeedback:sharegpt
uf-0212ef0da14a6af45719d880a45775a45c16947af0573eeafffc0540b2cde204,train,ultrafeedback,ultrafeedback:evol_instruct
uf-025e94b947ecd480c8f5e4819a2d4ad1cac1e246e10a52c7cfc71ecf31796c09,train,ultrafeedback,ultrafeedback:ultrachat
uf-032d5b4f2e4e6027561ab92608b51ab76cd574058fc9aaa0dd844099ab73e267,train,ultrafeedback,ultrafeedback:sharegpt
uf-033d1fb36765974cfce9f154b21dbf4e440cad78679b39cf76aa94643e31e13f,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-036f3279b47e79a84eeb3b0f381d67b94df4a8158b56e2cbd9e14643ab426241,train,ultrafeedback,ultrafeedback:ultrachat
uf-040c2a4de9db952114eda998cb281368a69601ab3bdf30c812d2ea7786149679,train,ultrafeedback,ultrafeedback:ultrachat
uf-040ed3f17b13730afe5fe846ae5f47c87095bf3fdbf4d59f4a81a0e356ae4f45,train,ultrafeedback,ultrafeedback:evol_instruct
uf-043465563f201cdcd49f3ab96b14ce263f246acfbb8bf9bcfc17dd40bb04ae43,train,ultrafeedback,ultrafeedback:ultrachat
uf-043af5df5d4a5d8878d6dc4648ca42e4132dd178610db22a8bd02e6580e2f96c,train,ultrafeedback,ultrafeedback:sharegpt
uf-068a3e6d982e0ad5e65cc2664e13635c3707ee7718b713a4e6a2e2b67cfbf91e,train,ultrafeedback,ultrafeedback:flan_v2_p3
uf-06b3c34b34dc60ad913aa943da9f7f0c663ad806fe094f0422d84ccd694c4d90,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-073b2673b9c7b82fa79b26f1368ee460b74d25dc8f8ea01325fb0e8aa856bd2e,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-073cba258f0beac66bc3deaaf1412286148d8e0b50bd5cbab7ab79fa83efbd08,train,ultrafeedback,ultrafeedback:sharegpt
uf-0744c46c1367fd245c07fce26a5c87d77c4673715215e9d7bc1bcc5ffdee79bb,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-092414667ca76f467db0c86aeec8e54d42fcf3f6c343041da7e7d36e6c4d659d,train,ultrafeedback,ultrafeedback:ultrachat
uf-0a1a0efdd550fc98a5f32ac9acc4e1eba2960c238f42cf905bd400ba6619ebfd,train,ultrafeedback,ultrafeedback:evol_instruct
uf-0a9e9df1ab975eb95fea9c495bbcad872674e1b51d15213d2b918226407d5b3b,validation,ultrafeedback,ultrafeedback:evol_instruct
uf-0b7e633cf5cd99698ba4483317c8ce5eb3b5617da312f3cd309077366a4c86a2,train,ultrafeedback,ultrafeedback:sharegpt
uf-0b9a6404e8db7de1cba1ef4cf1a9bfe0b6454a62cf9389a5b11c69944ebc3a1b,validation,ultrafeedback,ultrafeedback:ultrachat
uf-0c4dce9bde3f9daa99f669ec8499818252d4f58b24fddc876c62c7723bf49f5b,train,ultrafeedback,ultrafeedback:ultrachat
uf-0c943a9a329ee58a097aa3365dd3c429164770a7de46f46b86eac3840227e3ef,train,ultrafeedback,ultrafeedback:sharegpt
uf-0cf8889584b6d3ababa6cf85b73c459933a88cf4eb85e7f9802668e94f67b1f0,train,ultrafeedback,ultrafeedback:ultrachat
uf-0d401429b45f036a7e351f4efd5b4fac858faa774ce3dbe2b1d0e9d9a6875eca,train,ultrafeedback,ultrafeedback:sharegpt
uf-0d60e196a56d11bb2f2a82c0e6e53355be3d7170c60dbf3bb86f866092fa29f4,validation,ultrafeedback,ultrafeedback:flan_v2_p3
uf-0d795f7f878fbf9552d88fc4e713024921531a340bd71a53ad865a4239970ea2,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-0e0f2daaf58cd20929be3660d67eb2d8fed82864796678477529cf63fa37e941,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-0e3c0ff8b34b1807e98c351ac955c3b1d144037162ce7cb51733d5179db07fa5,train,ultrafeedback,ultrafeedback:flan_v2_cot
uf-105e5b612c66d633adeac55e6551bffa4b04b9be72c4502cbcd88b14f04cefc5,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-11bdf1f427a72887f9e2f90b04c25ed2acc34cc7e6c807cf282bd4c4df13b93f,validation,ultrafeedback,ultrafeedback:sharegpt
uf-1223a097a5879602695f56dbde93d6f153a3f6bc2f201e38501180f935f995f1,train,ultrafeedback,ultrafeedback:sharegpt
uf-12328cdf7ee2d2e219a1a924e1666e22105fe229b1d00957127485f6c947a9df,train,ultrafeedback,ultrafeedback:sharegpt
uf-1283c3ee646f8a3fb83757ec26886d18444862807695481279dea902bb8e40b0,train,ultrafeedback,ultrafeedback:ultrachat
uf-129d10b8724ba2b31a1044dd610ce85eab45798ebd7351f04fd05e2e997e4472,train,ultrafeedback,ultrafeedback:evol_instruct
uf-13c41ff9e4f479fb7c99bc91c3d61a530d60c0ddef0fae85f36400ffc0b91b73,validation,ultrafeedback,ultrafeedback:sharegpt
uf-14a2a22b6de22d5501075cb497d1ac469fcf0cf491766c2d115b2e3eef9661e6,train,ultrafeedback,ultrafeedback:ultrachat
uf-154dde5258a548187b4ed73c2ccaa22c4d8316b7cc516ac332098534c23861f6,train,ultrafeedback,ultrafeedback:evol_instruct
uf-15b129fb17a60f382eb7b639e029998571aa91d09268e882fb351065ac0bd3a0,train,ultrafeedback,ultrafeedback:sharegpt
uf-15d29127acd691ebd7d1bce222c578e5b26b24ace5bfc8f5d6aef635cb292afe,train,ultrafeedback,ultrafeedback:sharegpt
uf-15e58d6806bfc1941e159a0223b9c10121bf5f80cc39d7ff79ac87e75e83d1db,train,ultrafeedback,ultrafeedback:sharegpt
uf-15f4aceff1eb342c5ff9e9577393bb6ca2046efadfcc16a557a6d94b6989967f,train,ultrafeedback,ultrafeedback:sharegpt
uf-160aa2eee66fe2e873e1d43a45a4ef132d936eb383db71b06e5aaaed9d0133ad,validation,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-16cd88425e64d14a48d6917ffd639f5de22717d3285ff5f8bec1e75343e6de3f,train,ultrafeedback,ultrafeedback:sharegpt
uf-16fbd10da9fb79a368e571adc810b88a042ba29cdb51e9e200710f640c1840c4,train,ultrafeedback,ultrafeedback:sharegpt
uf-1848f4db556f27af45acdd0655a610b271f29232a76c25a28903e452f30d756e,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-18f93953132f4e6f809f286304a1986263378e0fcec659043751dcb1ec56f556,train,ultrafeedback,ultrafeedback:flan_v2_cot
uf-194ff02d7e4c66167799f878c85ae081d60723db2bc4507634deac745ceae837,train,ultrafeedback,ultrafeedback:flan_v2_p3
uf-1973becb33833397fd769ec37cb672d5ccd59ad7bf3f342ec360d0506fd3330b,train,ultrafeedback,ultrafeedback:sharegpt
uf-19d7e387918dfcb5a6308208e42dbb9d86e67a3ce568649f79d2b1cc17781bce,train,ultrafeedback,ultrafeedback:sharegpt
uf-19f75be5e8456f89c6b5c7577cb8a0e52e1111798875ae73fc65569aa9dc41ee,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-1a1888f7453a71e74caacd9634c72f47fb6f48ba6b7308d120a69ba4952060c5,train,ultrafeedback,ultrafeedback:evol_instruct
uf-1a9b3af4fff6eca8d43fe6c41d1648b4c99a94fefbb4380d9fd424cf7a665a1e,train,ultrafeedback,ultrafeedback:sharegpt
uf-1bc4916b200b1ffaa3f66e09c9622a8132283347415663ebb4635b47dba6adac,train,ultrafeedback,ultrafeedback:sharegpt
uf-1c438abdf7951bebdbdeec18acc243ce30fe4876243d3fe340ebb83f6f4c3f1b,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-1de773dfea7083e3c1ef7370337467eb8bbb304fe72ec007f205c402999c70b8,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-1f10a6d1637820a325c74e189d7b33c457a5e6583040f4a371987a7ec9c0f6ac,train,ultrafeedback,ultrafeedback:sharegpt
uf-1f360d24c5fa7447b4900535818c03df364285374557636e98be50fecde5298a,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-1f5a33fbf5a6c072791dea99bd3fdc933afb4f8f3aa5cc4eaa0360c12ef0358d,train,ultrafeedback,ultrafeedback:sharegpt
uf-1f805accfa42b6c6b45a238b05330c807ba6022c1b41a266ab3efd708bb947c5,train,ultrafeedback,ultrafeedback:evol_instruct
uf-1fa8da3117e36c5e2d36481bb04a7cd75ef77f7275bb1e7b6deb3888ef7fef41,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-1fdbbd4632a4d81b6c6003ceb01d8dedbe0b77b175da0c561740b9c44717b944,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-1fea5148c1ccee7191f11ac6154fe98c6d00d0b2af2795ca8e0aeb5564b5e0f1,train,ultrafeedback,ultrafeedback:ultrachat
uf-20da0529b94030d782be4fc4b951e958379e27248747a512659d0706114485cf,train,ultrafeedback,ultrafeedback:evol_instruct
uf-2128f489d3ce5f3efb81b960bfc46fefd32dff93bac229d9e42d3999bc1c2fe6,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-233a547844fe9e2f396fd1bfbb6b8609f37c57a2458745e90bb5f747c8f1a6f5,train,ultrafeedback,ultrafeedback:sharegpt
uf-23af310e52a95cb0176d24d4c5387259595409c1535faab9c42232a45b8c33b5,train,ultrafeedback,ultrafeedback:evol_instruct
uf-245b108752b8ae501d67b8bc929529ac2393980f54e3aac0ac8c119bb77d116f,validation,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-24ca6e87496929fd24e805001a1aabf01a4cfe70951f3d0fbfd7e7df752eb61c,validation,ultrafeedback,ultrafeedback:flan_v2_cot
uf-24f1274012b79c70eb20fad58f78874221d3c51adbfc09cc53f13732d06b387e,train,ultrafeedback,ultrafeedback:evol_instruct
uf-2563dbddbb524911c34b7bb1727c8655f10ebacc2874a6ff98b06acb9d5da8f3,train,ultrafeedback,ultrafeedback:sharegpt
uf-262c81669c644931ab82bb9330c86c893f9431dd0c2be10e99e32886bda0a342,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-267466910a58193e436117e844c16ff406241f2e6fd45f2cc43e57f2b96f060f,validation,ultrafeedback,ultrafeedback:sharegpt
uf-2678968d9c286414e983011b7e58683b859915f4053aa88db99faba9e6af61a9,train,ultrafeedback,ultrafeedback:evol_instruct
uf-269be81c9c8a0f60216a3c61042fb46bb340575a2e8445c546f25c86c55c842d,validation,ultrafeedback,ultrafeedback:sharegpt
uf-26b9bea5ef2f9c885c55edc1307c82c42706b12f2bac80e47d79f48eb028cc84,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-277f7e5dd0d055898dda6b72f32d63efc0e243336d9fdf32c58d4360d6e97de5,train,ultrafeedback,ultrafeedback:ultrachat
uf-28b8bf5b9ec64c2bd072306bbfd4e95745f8ca7b2dbc4a0c6cacc2b2640b49b0,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-28f4c03fcfca3599aad7c2128a9e411cd3712006d6e6996edeb43aeb95643ad0,train,ultrafeedback,ultrafeedback:evol_instruct
uf-29aeec6659342d809691cd69ff4d9bc8cd0342454270672cbbbcf3720879c1fe,train,ultrafeedback,ultrafeedback:evol_instruct
uf-2a373739861ce0bc905729dc58f4cdbb393e074009798bff52003e504a854f6b,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-2a42cb5db2d2194b2b114094932b4e377c81e8da48eefc2093b20ad9512ac670,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-2a4ed7f632dfc21d1dc342051eaf8ea1bcdb528a4fa5913df322c41d84eebe2c,train,ultrafeedback,ultrafeedback:evol_instruct
uf-2c3e38ce8920f12b830f8e3b9b386af56bd93a58c917a92627485cc8391e01ae,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-2e760b1af83c2ed969c6b9627284a4ce0bb9aeb62d8991bbd843972536aac836,train,ultrafeedback,ultrafeedback:sharegpt
uf-2e906ab61941884ce660039e7843ca5a393f03b894ffb6152187d3aa9eca6497,train,ultrafeedback,ultrafeedback:evol_instruct
uf-3020e54e5aa83f92d06dcb8db461ff48d61ba6e76e0d333bfbe7a94b404630f7,train,ultrafeedback,ultrafeedback:evol_instruct
uf-303f3b4d7898b921d7652b677fcd810e41a7331215af8d78098e31c2a8d9f5fe,train,ultrafeedback,ultrafeedback:sharegpt
uf-3083593149090a0b7823b8d9f520ace2b3df22cf970a121ac93c26b3333cc030,train,ultrafeedback,ultrafeedback:ultrachat
uf-30d902ea69d1dbcd1f9146a7b0da633701216e406fa4616685c32b17ef5e97c5,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-30f9aea5523a0cf438f7dec4bcb6f107b5681447f27faca81d3aa9ab7ae1c254,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-318d34270e67c271aeb9ba7531e0862417596d3a6bb118b777bafc37f46022a2,train,ultrafeedback,ultrafeedback:false_qa
uf-332c85f5666c711b508306c20b59c7cd0e4af962c014c345812f19c0bc6debe6,train,ultrafeedback,ultrafeedback:ultrachat
uf-337dc788cb754ddf56cbf73a6237a467405de282504dd46cfe761cd28b9930a1,train,ultrafeedback,ultrafeedback:flan_v2_p3
uf-34622bdf88267a46b0f5304e14bcdf5a5750d78791488d72405914ebd7a84699,train,ultrafeedback,ultrafeedback:ultrachat
uf-3474a595cd125dcf0a31271abfc92540c0fd9844c53ebbd8dcb3781fdc5589af,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-348c13ccaee272cbca0caa5254febb579d25e26e2648f56fe0a9f29ed9d89e91,train,ultrafeedback,ultrafeedback:ultrachat
uf-34aa7fae190d50490b5371a627a801e482a37be6f562acc21d0c207076033982,train,ultrafeedback,ultrafeedback:sharegpt
uf-34ff6a95bf99ec6bf3b335b812bd2f3f7684e886c74638b0b8880f708ec2ddaa,validation,ultrafeedback,ultrafeedback:false_qa
uf-357081d0fb0bccd8b699f1d4d4d7057bf9fa5cd814c34e632b2f7e5f64eafaf3,validation,ultrafeedback,ultrafeedback:ultrachat
uf-35a4d04e67e421891c12b44f40ec5aba1c323cb6f7f54bf3961e93474a9e7d67,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-35f98c4984a0f3f759f941bb187684f5d0673b552cc44e142a1d787cd836c784,train,ultrafeedback,ultrafeedback:sharegpt
uf-36f4cd8dd7f14d4f84e3d05a364ef50282827a9081c386c410ee353a42101c99,train,ultrafeedback,ultrafeedback:ultrachat
uf-372f65a9ba156189c0cac0b560619b6f19c08ff509983a03740fa0ca937ed7a2,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-37cc4f891a76586692b94b6b5d29edfb480ce686e1af44a409712fccfd426ce3,train,ultrafeedback,ultrafeedback:evol_instruct
uf-37cf80a0219620bca7c31f30f0ab70990a22c8a57ddc28eb4f2ff5e360a70eae,train,ultrafeedback,ultrafeedback:sharegpt
uf-383c4c946d8facfa57db89020b0903141951611f3709b7c1676593b16f64f393,train,ultrafeedback,ultrafeedback:ultrachat
uf-38befda8b7331d192008721b8ff40053f85476e3c55371d8500518a50197828f,train,ultrafeedback,ultrafeedback:flan_v2_niv2
uf-38bf743453675d16a9e1f33317551937cc7819068d363f61fe23079051f72c9a,train,ultrafeedback,ultrafeedback:sharegpt
uf-38c89a0af569669196377daa1f3740a4d4fd80402aeb537540e1577ca7ff31e4,train,ultrafeedback,ultrafeedback:sharegpt
uf-38fd655b15b053f8d68db6519ed98da683f26614d4dcf5e9c679dfa1bfb6f875,train,ultrafeedback,ultrafeedback:sharegpt
