author,canonical_download_url,category,download_url,expected_file_bytes,expected_sha256,file_bytes,height,image_format,image_id,image_relative_path,legacy_image_relative_path,license,license_url,mime_type,provenance_role,repository,sha256,source_page_url,source_path,source_revision,source_revision_kind,split,width
Our World in Data / Global Change Data Lab,,chart_table,https://ourworldindata.org/grapher/renewable-share-energy.png,,,117818,600,PNG,chart_table-v7-final-01,images_v7/final/chart_table-v7-final-01.png,,CC-BY-4.0,https://ourworldindata.org/faqs#can-i-reuse-or-republish-your-charts,image/png,new_v7_heldout_bytes,our-world-in-data-grapher,6946ae2775961a2c0b9597533b420014010f7070eb738afaee21af5ab0d95455,https://ourworldindata.org/grapher/renewable-share-energy,renewable-share-energy,2026-08-21,retrieval_date,final,850
Our World in Data / Global Change Data Lab,,chart_table,https://ourworldindata.org/grapher/population-by-age-group.png,,,50508,600,PNG,chart_table-v7-final-02,images_v7/final/chart_table-v7-final-02.png,,CC-BY-4.0,https://ourworldindata.org/faqs#can-i-reuse-or-republish-your-charts,image/png,new_v7_heldout_bytes,our-world-in-data-grapher,f6a0e3ebed76d9a7d43824ac31a88b900ac912a2a859f825384957393def61bd,https://ourworldindata.org/grapher/population-by-age-group,population-by-age-group,2026-08-21,retrieval_date,final,850
BreezeDeus and Pix2Text contributors,https://raw.githubusercontent.com/breezedeus/Pix2Text/f881e9df93d1ee6e90e823a66776ae0bb501f810/docs/examples/page2.png,formula,https://cdn.jsdelivr.net/gh/breezedeus/Pix2Text@f881e9df93d1ee6e90e823a66776ae0bb501f810/docs/examples/page2.png,,,1142938,1976,PNG,formula-v7-final-02,images_v7/final/formula-v7-final-02.png,,MIT,https://github.com/breezedeus/Pix2Text/blob/f881e9df93d1ee6e90e823a66776ae0bb501f810/LICENSE,image/png,new_v7_heldout_bytes,pix2text,accadcf9828951dc8b4fcf6e172e7d54f86f2c6702766c6b071269b33ab8e14e,https://github.com/breezedeus/Pix2Text/blob/f881e9df93d1ee6e90e823a66776ae0bb501f810/docs/examples/page2.png,docs/examples/page2.png,f881e9df93d1ee6e90e823a66776ae0bb501f810,git_commit,final,1544
Jacob Rus,,formula,https://commons.wikimedia.org/wiki/Special:Redirect/file/Quadratic%20formula%20via%20completing%20the%20square.png?width=1280,,,94568,736,PNG,formula-v7-final-03,images_v7/final/formula-v7-final-03.png,,CC-BY-SA-4.0,https://creativecommons.org/licenses/by-sa/4.0/,image/png,new_v7_heldout_bytes,wikimedia-commons,4229237ee2b36ce926a206aca8a19cc434d9822003c1639075f077f19d2edd71,https://commons.wikimedia.org/wiki/File:Quadratic%20formula%20via%20completing%20the%20square.png,Quadratic formula via completing the square.png,2026-08-21,retrieval_date,final,1280
www.Pixel.la Free Stock Photos,,natural_scene,https://commons.wikimedia.org/wiki/Special:Redirect/file/Palm%20trees%20on%20a%20beach.jpg?width=1280,,,173134,853,JPEG,natural_scene-v7-final-03,images_v7/final/natural_scene-v7-final-03.jpg,,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,image/jpeg,new_v7_heldout_bytes,wikimedia-commons,54f49c977f3f0f829663db7ca86bf2d58af467b34d26613bca97df3ded63ba92,https://commons.wikimedia.org/wiki/File:Palm%20trees%20on%20a%20beach.jpg,Palm trees on a beach.jpg,2026-08-21,retrieval_date,final,1280
Sarah Naegels,,natural_scene,https://commons.wikimedia.org/wiki/Special:Redirect/file/Dog%20park%21.jpg?width=1280,,,208012,960,JPEG,natural_scene-v7-final-04,images_v7/final/natural_scene-v7-final-04.jpg,,CC-BY-2.0,https://creativecommons.org/licenses/by/2.0/,image/jpeg,new_v7_heldout_bytes,wikimedia-commons,0e76eb9bcc730e5978aa89bfaf2664cef36c94bad8089a9299488c74629c18ec,https://commons.wikimedia.org/wiki/File:Dog%20park%21.jpg,Dog park!.jpg,2026-08-21,retrieval_date,final,1280
PaddleOCR contributors,https://raw.githubusercontent.com/PaddlePaddle/PaddleOCR/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/tests/test_files/textline.png,ocr,https://cdn.jsdelivr.net/gh/PaddlePaddle/PaddleOCR@2661c7c0ef5c613e8f93c6e93b2e052399f0f854/tests/test_files/textline.png,,,73730,64,PNG,ocr-v7-final-01,images_v7/final/ocr-v7-final-01.png,,Apache-2.0,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/LICENSE,image/png,new_v7_heldout_bytes,paddleocr,5362ba97741413494c507237b5096ef09ed575a501c4d9e68bfeffe17528a6ad,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/tests/test_files/textline.png,tests/test_files/textline.png,2661c7c0ef5c613e8f93c6e93b2e052399f0f854,git_commit,final,514
BreezeDeus and Pix2Text contributors,https://raw.githubusercontent.com/breezedeus/Pix2Text/f881e9df93d1ee6e90e823a66776ae0bb501f810/docs/examples/english.jpg,ocr,https://cdn.jsdelivr.net/gh/breezedeus/Pix2Text@f881e9df93d1ee6e90e823a66776ae0bb501f810/docs/examples/english.jpg,,,36839,116,JPEG,ocr-v7-final-02,images_v7/final/ocr-v7-final-02.jpg,,MIT,https://github.com/breezedeus/Pix2Text/blob/f881e9df93d1ee6e90e823a66776ae0bb501f810/LICENSE,image/jpeg,new_v7_heldout_bytes,pix2text,602e79f95ea2d4cc18e0df94d241170b0c196486a4cf67b28cc04db8f9aa54ea,https://github.com/breezedeus/Pix2Text/blob/f881e9df93d1ee6e90e823a66776ae0bb501f810/docs/examples/english.jpg,docs/examples/english.jpg,f881e9df93d1ee6e90e823a66776ae0bb501f810,git_commit,final,710
Microsoft and Windows documentation contributors,https://raw.githubusercontent.com/MicrosoftDocs/windows-dev-docs/9a712a52ab5ccb1fbe24e97e582a9f884388a3cc/hub/powertoys/images/color-picker/settings.png,ui,https://cdn.jsdelivr.net/gh/MicrosoftDocs/windows-dev-docs@9a712a52ab5ccb1fbe24e97e582a9f884388a3cc/hub/powertoys/images/color-picker/settings.png,,,205648,1315,PNG,ui-v7-final-01,images_v7/final/ui-v7-final-01.png,,CC-BY-4.0,https://github.com/MicrosoftDocs/windows-dev-docs/blob/9a712a52ab5ccb1fbe24e97e582a9f884388a3cc/LICENSE,image/png,new_v7_heldout_bytes,windows-dev-docs,caa9fc39ef7f73a0dce3406772f6645a16e60f7d4b9c37e9655278f0ae223ee2,https://github.com/MicrosoftDocs/windows-dev-docs/blob/9a712a52ab5ccb1fbe24e97e582a9f884388a3cc/hub/powertoys/images/color-picker/settings.png,hub/powertoys/images/color-picker/settings.png,9a712a52ab5ccb1fbe24e97e582a9f884388a3cc,git_commit,final,1037
Microsoft and Windows documentation contributors,https://raw.githubusercontent.com/MicrosoftDocs/windows-dev-docs/9a712a52ab5ccb1fbe24e97e582a9f884388a3cc/hub/powertoys/images/general/settings-home.png,ui,https://cdn.jsdelivr.net/gh/MicrosoftDocs/windows-dev-docs@9a712a52ab5ccb1fbe24e97e582a9f884388a3cc/hub/powertoys/images/general/settings-home.png,,,200218,1015,PNG,ui-v7-final-02,images_v7/final/ui-v7-final-02.png,,CC-BY-4.0,https://github.com/MicrosoftDocs/windows-dev-docs/blob/9a712a52ab5ccb1fbe24e97e582a9f884388a3cc/LICENSE,image/png,new_v7_heldout_bytes,windows-dev-docs,ba351be0aeea107beccdc7bac1a10b9e8f034754dfae196318a81d618cad8ead,https://github.com/MicrosoftDocs/windows-dev-docs/blob/9a712a52ab5ccb1fbe24e97e582a9f884388a3cc/hub/powertoys/images/general/settings-home.png,hub/powertoys/images/general/settings-home.png,9a712a52ab5ccb1fbe24e97e582a9f884388a3cc,git_commit,final,1320
PaddleOCR contributors,,chart_table,https://raw.githubusercontent.com/PaddlePaddle/PaddleOCR/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/docs/datasets/images/table_PubTabNet_demo/PMC524509_007_00.png,9357,8ac6eb772c45be3f17f28ce565489b5895ab47002fdf5b34590d57f047041130,9357,98,PNG,chart_table-01,images_v7/train/chart_table-01.png,images/train/chart_table-01.png,Apache-2.0,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/LICENSE,image/png,reaudited_v6_train_bytes,paddleocr,8ac6eb772c45be3f17f28ce565489b5895ab47002fdf5b34590d57f047041130,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/docs/datasets/images/table_PubTabNet_demo/PMC524509_007_00.png,docs/datasets/images/table_PubTabNet_demo/PMC524509_007_00.png,2661c7c0ef5c613e8f93c6e93b2e052399f0f854,git_commit,train,503
PaddleOCR contributors,,chart_table,https://raw.githubusercontent.com/PaddlePaddle/PaddleOCR/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/docs/datasets/images/table_PubTabNet_demo/PMC535543_007_01.png,28113,9a92582a81a93937da737ef4b8d6980feede20b1acc4cc4db862bb16638c80ab,28113,245,PNG,chart_table-02,images_v7/train/chart_table-02.png,images/train/chart_table-02.png,Apache-2.0,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/LICENSE,image/png,reaudited_v6_train_bytes,paddleocr,9a92582a81a93937da737ef4b8d6980feede20b1acc4cc4db862bb16638c80ab,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/docs/datasets/images/table_PubTabNet_demo/PMC535543_007_01.png,docs/datasets/images/table_PubTabNet_demo/PMC535543_007_01.png,2661c7c0ef5c613e8f93c6e93b2e052399f0f854,git_commit,train,503
PaddleOCR contributors,,chart_table,https://raw.githubusercontent.com/PaddlePaddle/PaddleOCR/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/docs/datasets/images/table_tal_demo/1.jpg,238316,c474365f54eea113d941550e31e00d6a9b524224fa0ba9bbb8833792d9bf784f,238316,1079,JPEG,chart_table-03,images_v7/train/chart_table-03.jpg,images/train/chart_table-03.jpg,Apache-2.0,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/LICENSE,image/jpeg,reaudited_v6_train_bytes,paddleocr,c474365f54eea113d941550e31e00d6a9b524224fa0ba9bbb8833792d9bf784f,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/docs/datasets/images/table_tal_demo/1.jpg,docs/datasets/images/table_tal_demo/1.jpg,2661c7c0ef5c613e8f93c6e93b2e052399f0f854,git_commit,train,941
PaddleOCR contributors,,chart_table,https://raw.githubusercontent.com/PaddlePaddle/PaddleOCR/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/docs/datasets/images/publaynet_demo/gt_PMC5086060_00002.jpg,123255,34f04a2a1cc004f71f44c69fe668c040577bff91204f5606bc79a135fbdefed6,123255,791,JPEG,chart_table-04,images_v7/train/chart_table-04.jpg,images/train/chart_table-04.jpg,Apache-2.0,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/LICENSE,image/jpeg,reaudited_v6_train_bytes,paddleocr,34f04a2a1cc004f71f44c69fe668c040577bff91204f5606bc79a135fbdefed6,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/docs/datasets/images/publaynet_demo/gt_PMC5086060_00002.jpg,docs/datasets/images/publaynet_demo/gt_PMC5086060_00002.jpg,2661c7c0ef5c613e8f93c6e93b2e052399f0f854,git_commit,train,596
PaddleOCR contributors,,chart_table,https://raw.githubusercontent.com/PaddlePaddle/PaddleOCR/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/docs/datasets/images/tablebank_demo/004.png,627735,84e504204db82ff320e200b03f353c70700b0e24a83026f70ddca3b6af7e7137,627735,1101,PNG,chart_table-05,images_v7/train/chart_table-05.png,images/train/chart_table-05.png,Apache-2.0,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/LICENSE,image/png,reaudited_v6_train_bytes,paddleocr,84e504204db82ff320e200b03f353c70700b0e24a83026f70ddca3b6af7e7137,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/docs/datasets/images/tablebank_demo/004.png,docs/datasets/images/tablebank_demo/004.png,2661c7c0ef5c613e8f93c6e93b2e052399f0f854,git_commit,train,854
PaddleOCR contributors,,chart_table,https://raw.githubusercontent.com/PaddlePaddle/PaddleOCR/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/docs/datasets/images/tablebank_demo/005.png,229473,f0938cf98a784f8277d8a5dfc4242be437135263ec7bec871c477b931cb7830e,229473,1101,PNG,chart_table-06,images_v7/train/chart_table-06.png,images/train/chart_table-06.png,Apache-2.0,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/LICENSE,image/png,reaudited_v6_train_bytes,paddleocr,f0938cf98a784f8277d8a5dfc4242be437135263ec7bec871c477b931cb7830e,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/docs/datasets/images/tablebank_demo/005.png,docs/datasets/images/tablebank_demo/005.png,2661c7c0ef5c613e8f93c6e93b2e052399f0f854,git_commit,train,674
PaddleOCR contributors,,chart_table,https://raw.githubusercontent.com/PaddlePaddle/PaddleOCR/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/docs/version2.x/ppstructure/images/table_1.png,776050,4b6e3d1aef64cd90c92d5be3bed628f486affd4e4b2ce85f8da2695edb9069fc,776050,848,PNG,chart_table-07,images_v7/train/chart_table-07.png,images/train/chart_table-07.png,Apache-2.0,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/LICENSE,image/png,reaudited_v6_train_bytes,paddleocr,4b6e3d1aef64cd90c92d5be3bed628f486affd4e4b2ce85f8da2695edb9069fc,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/docs/version2.x/ppstructure/images/table_1.png,docs/version2.x/ppstructure/images/table_1.png,2661c7c0ef5c613e8f93c6e93b2e052399f0f854,git_commit,train,868
PaddleOCR contributors,,chart_table,https://raw.githubusercontent.com/PaddlePaddle/PaddleOCR/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/docs/version2.x/ppstructure/model_train/images/table_ch_result1.jpg,378250,a42deab68c85c7521fa2ec79aaf914ed3ce8741c0a3ba59679c337f317ca446e,378250,835,PNG,chart_table-08,images_v7/train/chart_table-08.jpg,images/train/chart_table-08.jpg,Apache-2.0,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/LICENSE,image/jpeg,reaudited_v6_train_bytes,paddleocr,a42deab68c85c7521fa2ec79aaf914ed3ce8741c0a3ba59679c337f317ca446e,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/docs/version2.x/ppstructure/model_train/images/table_ch_result1.jpg,docs/version2.x/ppstructure/model_train/images/table_ch_result1.jpg,2661c7c0ef5c613e8f93c6e93b2e052399f0f854,git_commit,train,1156
PaddleOCR contributors,,chart_table,https://raw.githubusercontent.com/PaddlePaddle/PaddleOCR/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/docs/version2.x/ppstructure/model_train/images/table_ch_result2.jpg,790724,60cec3deb68735faab25d51225153f80df97647210330874b42c4a1946d7d6e3,790724,785,PNG,chart_table-09,images_v7/train/chart_table-09.jpg,images/train/chart_table-09.jpg,Apache-2.0,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/LICENSE,image/jpeg,reaudited_v6_train_bytes,paddleocr,60cec3deb68735faab25d51225153f80df97647210330874b42c4a1946d7d6e3,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/docs/version2.x/ppstructure/model_train/images/table_ch_result2.jpg,docs/version2.x/ppstructure/model_train/images/table_ch_result2.jpg,2661c7c0ef5c613e8f93c6e93b2e052399f0f854,git_commit,train,1750
PaddleOCR contributors,,chart_table,https://raw.githubusercontent.com/PaddlePaddle/PaddleOCR/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/docs/version2.x/ppstructure/model_train/images/table_ch_result3.jpg,478002,80df150becb744471d8278261d4e08f619577cd5516d595a5e977b4eeef72fbd,478002,336,PNG,chart_table-10,images_v7/train/chart_table-10.jpg,images/train/chart_table-10.jpg,Apache-2.0,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/LICENSE,image/jpeg,reaudited_v6_train_bytes,paddleocr,80df150becb744471d8278261d4e08f619577cd5516d595a5e977b4eeef72fbd,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/docs/version2.x/ppstructure/model_train/images/table_ch_result3.jpg,docs/version2.x/ppstructure/model_train/images/table_ch_result3.jpg,2661c7c0ef5c613e8f93c6e93b2e052399f0f854,git_commit,train,1099
BreezeDeus and Pix2Text contributors,,formula,https://raw.githubusercontent.com/breezedeus/Pix2Text/f881e9df93d1ee6e90e823a66776ae0bb501f810/docs/examples/formula.jpg,24465,9f98b2fd339417fe1a4c83182c6af20631eed489e746bc901682beca4e034cff,24465,190,JPEG,formula-01,images_v7/train/formula-01.jpg,images/train/formula-01.jpg,MIT,https://github.com/breezedeus/Pix2Text/blob/f881e9df93d1ee6e90e823a66776ae0bb501f810/LICENSE,image/jpeg,reaudited_v6_train_bytes,pix2text,9f98b2fd339417fe1a4c83182c6af20631eed489e746bc901682beca4e034cff,https://github.com/breezedeus/Pix2Text/blob/f881e9df93d1ee6e90e823a66776ae0bb501f810/docs/examples/formula.jpg,docs/examples/formula.jpg,f881e9df93d1ee6e90e823a66776ae0bb501f810,git_commit,train,752
BreezeDeus and Pix2Text contributors,,formula,https://raw.githubusercontent.com/breezedeus/Pix2Text/f881e9df93d1ee6e90e823a66776ae0bb501f810/docs/examples/formula2.png,51845,f7caabcca22e1d79c5af00adf941ea9bc6f5e2fa3558f22ef5cf4bccaaef8c73,51845,61,PNG,formula-02,images_v7/train/formula-02.png,images/train/formula-02.png,MIT,https://github.com/breezedeus/Pix2Text/blob/f881e9df93d1ee6e90e823a66776ae0bb501f810/LICENSE,image/png,reaudited_v6_train_bytes,pix2text,f7caabcca22e1d79c5af00adf941ea9bc6f5e2fa3558f22ef5cf4bccaaef8c73,https://github.com/breezedeus/Pix2Text/blob/f881e9df93d1ee6e90e823a66776ae0bb501f810/docs/examples/formula2.png,docs/examples/formula2.png,f881e9df93d1ee6e90e823a66776ae0bb501f810,git_commit,train,507
